timestamp,session_duration,device,age,lat,lng
0.030521749650212125,0,mobile,25,38.8602,-86.4895
0.05855517440749413,0,mobile,20,3.3004,32.87
0.08016664004717278,0,desktop,23,-22.64,-57.79
0.09619318245464135,0,desktop,46,43.5851,27.84
0.10384049851378185,30,mobile,53,18.28,-70.331
0.1152996922996969,15,desktop,24,-13.6296,32.64
0.1210886251611945,0,mobile,19,-23.8195,-64.79
0.15950486752249432,0,desktop,23,44.9639,-92.7316
0.32759558580568526,15,mobile,24,36.9715,-86.4375
0.36029970810772693,0,desktop,31,41.8833,-88.3242
0.36823888386697684,0,desktop,30,33.6391,-97.1487
0.37309715390337184,15,tablet,20,38.8754,-76.8862
0.43988125515206533,0,mobile,39,10.256,105.964
0.4966045145382561,0,mobile,25,38.5228,-77.3187
0.5056120283845219,30,mobile,26,-1.6788,29.221800000000002
0.5254666527206884,15,desktop,29,41.4331,22.0119
0.661556296325793,15,desktop,25,15.865,74.505
0.7273029062855738,30,mobile,21,59.9674,164.172
0.7291949456606538,15,mobile,25,33.3648,-105.6432
0.7320071529575457,15,mobile,24,1.9504,30.0333
0.7495858144705919,30,mobile,34,1.645,7.412
0.754570865960387,15,mobile,32,14.072,-89.094
0.8368445285637176,0,mobile,32,55.9789,23.8551
0.8432327890584514,15,mobile,17,34.275,108.895
0.8533049929008357,0,mobile,25,38.9949,-84.6017
0.8758182689328624,30,mobile,19,-34.6025,-58.3975
0.9010594981364144,15,mobile,19,69.2565,-81.7936
0.9683011386324185,15,desktop,38,-17.9618,122.2308
0.9750597544173861,0,desktop,27,54.9004,52.3199
1.0047067312150701,0,tablet,23,54.6048,53.6943
1.0056397081862098,0,mobile,18,9.5144,138.1292
1.0125348277072632,0,mobile,18,36.0852,-90.9462
1.0441404371143856,15,mobile,37,-7.21,-39.32
1.0578137338820315,75,mobile,19,49.626,63.499
1.058485945640708,15,mobile,28,35.8004,50.97
1.0740424878213133,15,desktop,38,6.9804,19.18
1.1091467429842272,0,tablet,33,15.2137,145.7546
1.1657686536280303,60,mobile,25,-38.0,-57.58
1.1876783686606078,15,mobile,31,20.71,77.01
1.1952792677613713,30,desktop,27,33.9874,-117.0542
1.2049321751742057,15,desktop,32,39.3444,-76.7668
1.3114670160944788,0,desktop,29,41.5518,-81.4691
1.3692778252391002,15,desktop,26,34.399,-118.9181
1.4035155616711952,15,mobile,21,39.8989,-74.9614
1.4197115951133699,0,mobile,15,43.7978,-70.1719
1.477088520216558,15,desktop,35,-5.35,-49.116
1.501422551698911,45,mobile,22,41.3911,60.3557
1.5420930027794897,15,mobile,22,42.3004,123.82
1.563082104208546,15,desktop,19,17.9167,19.1167
1.5761171709361947,30,desktop,18,46.4367,15.9536
1.6188145559521743,15,mobile,20,47.816,16.25
1.6216832983152967,0,mobile,19,45.5613,-122.837
1.6784502445776668,15,desktop,48,-6.2296,-77.87
1.70659001667675,15,mobile,35,1.6404,18.04
1.7081293470944672,0,desktop,21,35.7838,-80.8711
1.7974426108055992,30,mobile,21,35.2191,128.5836
1.9063748657398432,0,mobile,31,39.0334,-84.5166
1.9078432299853507,30,desktop,17,45.4748,133.4298
1.959360012295704,0,mobile,26,45.6755,-118.8209
2.0630200410764603,15,mobile,21,39.8032,-75.4606
2.0630668457712655,15,mobile,29,-37.0496,143.73
2.1159402965008662,0,tablet,22,37.9403,-121.9301
2.138960807019876,30,desktop,35,40.4151,-104.7705
2.1403774331900083,15,mobile,28,-38.2395,-72.34
2.1937696080185467,30,mobile,51,53.8704,10.67
2.264211133829916,15,mobile,47,42.725,-92.4708
2.299671256883288,15,mobile,23,30.513,-97.7382
2.361355244048404,15,tablet,63,38.6504,-121.2497
2.4230460980918274,0,mobile,35,32.5035,-86.3728
2.4241428016919215,0,mobile,19,40.2226,-74.0117
2.5698018325666148,0,mobile,20,36.3921,-86.1568
2.5710107453928908,30,desktop,18,19.6158,37.2164
2.597475688005995,0,mobile,24,33.3704,6.86
2.6607031616509964,30,mobile,23,40.222,-74.591
2.7388255204534064,15,tablet,24,40.8667,20.2
2.764476956311096,0,desktop,23,42.4366,-82.8987
