141, 235
311, 175
485, 391
28, 167
294, 258
173, 176
213, 41
299, 406
315, 302
208, 443
418, 422
172, 399
272, 144
279, 453
268, 230
405, 470
425, 16
69, 26
299, 250
111, 408
452, 248
326, 164
417, 487
29, 444
29, 191
295, 297
3, 295
70, 315
216, 265
110, 119
226, 278
73, 0
351, 30
455, 7
495, 2
253, 477
193, 247
357, 258
264, 466
187, 386
64, 177
495, 84
334, 316
139, 290
180, 499
447, 367
83, 63
50, 69
491, 434
449, 361
399, 480
6, 291
256, 144
440, 134
365, 338
134, 395
81, 281
229, 15
253, 31
83, 368
68, 93
172, 489
123, 232
274, 183
344, 428
136, 324
436, 486
177, 203
2, 132
239, 481
177, 179
330, 116
165, 442
147, 101
196, 329
102, 152
35, 6
201, 437
308, 420
46, 126
486, 151
120, 202
468, 163
495, 235
263, 207
419, 444
373, 347
18, 436
50, 124
80, 152
270, 222
176, 467
354, 56
329, 111
233, 243
66, 66
301, 357
392, 32
400, 155
182, 214
281, 148
437, 368
174, 193
111, 408
159, 183
274, 90
300, 214
424, 178
272, 416
322, 440
195, 52
445, 28
330, 111
174, 340
111, 229
86, 112
31, 20
252, 77
138, 358
430, 258
185, 197
245, 401
47, 448
323, 169
118, 468
140, 287
328, 392
371, 317
425, 426
342, 175
310, 483
311, 284
125, 475
341, 158
285, 360
103, 249
37, 204
268, 348
279, 475
300, 377
107, 470
51, 494
180, 201
197, 236
268, 377
368, 220
229, 423
271, 101
65, 37
149, 129
201, 235
94, 214
394, 450
401, 409
465, 115
201, 397
246, 140
239, 305
239, 77
496, 216
50, 62
215, 326
404, 213
287, 306
331, 312
413, 21
337, 0
5, 7
200, 147
152, 165
169, 113
56, 124
66, 25
274, 385
475, 240
364, 438
406, 195
197, 417
115, 292
344, 127
95, 206
404, 365
147, 169
273, 129
493, 460
445, 219
480, 269
148, 301
279, 456
73, 389
495, 344
264, 224
157, 72
292, 98
422, 437
161, 464
371, 291
144, 443
90, 371
408, 124
178, 438
378, 392
298, 419
72, 488
255, 331
159, 328
48, 243
428, 184
362, 316
142, 255
226, 130
81, 274
412, 302
410, 298
40, 165
57, 7
421, 253
224, 357
322, 232
4, 266
162, 329
360, 378
227, 367
431, 23
78, 102
141, 324
475, 295
414, 54
316, 280
140, 318
207, 389
354, 448
32, 239
494, 221
389, 406
471, 2
321, 167
202, 125
234, 393
432, 216
468, 228
320, 11
422, 204
319, 225
196, 234
343, 221
459, 39
298, 23
300, 0
375, 46
273, 325
464, 394
97, 439
410, 180
186, 250
387, 304
103, 440
339, 27
351, 277
105, 93
287, 277
427, 119
471, 352
251, 312
301, 449
452, 87
227, 361
99, 122
494, 53
40, 16
132, 469
369, 296
439, 163
464, 149
169, 326
437, 269
391, 449
218, 187
123, 59
19, 498
185, 384
289, 188
347, 98
232, 455
395, 125
378, 423
490, 428
463, 497
22, 239
298, 6
452, 187
144, 365
228, 407
2, 58
325, 397
246, 61
466, 156
212, 186
87, 233
89, 150
395, 467
236, 149
49, 117
291, 80
284, 381
399, 175
281, 280
39, 414
173, 238
267, 39
370, 321
231, 443
473, 464
224, 464
208, 133
118, 329
43, 257
368, 6
189, 446
17, 136
398, 84
45, 262
293, 415
352, 330
230, 481
446, 475
342, 478
75, 98
274, 317
377, 196
34, 13
152, 352
397, 45
195, 256
374, 138
93, 118
444, 453
354, 395
277, 127
235, 160
174, 465
151, 448
300, 315
100, 283
483, 207
46, 367
45, 307
331, 364
197, 476
275, 391
192, 350
370, 293
32, 256
306, 377
155, 452
182, 204
62, 430
481, 62
428, 206
222, 177
